Document_ID,Title,Authoritative_Path,Format,Owner,Approval_Status,Effective_Date,Next_Review_Date,Access,Retention_Rule,Supersedes,Linked_IDs,Evidence_ID,Boundary
DOC-AIMS-001,Enterprise AI Governance Charter,06-governance-operating-model/Duckworks_Enterprise_AI_Governance_Charter_v1.0.md,Markdown,Reginald Duckman - CRCO,Approved within synthetic exercise,2026-08-09,2027-08-09,Public portfolio,Current plus 7 years after supersession,None,M01; M03,EV-AIMS-007,Portfolio approval is not corporate adoption
DOC-AIMS-002,AI Governance Lifecycle SOP,06-governance-operating-model/Duckworks_AI_Governance_Lifecycle_SOP_v1.0.md,Markdown,Eleanor Duckford - AI Governance Lead,Approved within synthetic exercise,2026-08-09,2027-08-09,Public portfolio,Current plus 7 years after supersession,None,M11; M15,EV-AIMS-007,Workflow design does not prove enterprise enforcement
DOC-AIMS-003,AI Governance RACI,06-governance-operating-model/Duckworks_AI_RACI_Chart_v1.0.xlsx,XLSX,Eleanor Duckford - AI Governance Lead,Portfolio baseline,2026-08-09,2027-08-09,Public portfolio,Current plus 7 years after supersession,None,M03; M09,EV-AIMS-007,Role assignment does not prove acceptance or competence
DOC-AIMS-004,AI Risk Methodology,04-risk-assessment/Duckworks_AI_Risk_Classification_Assessment_Methodology_v1.0.md,Markdown,Reginald Duckman - CRCO,Portfolio baseline,2026-08-10,2027-08-10,Public portfolio,Current plus 7 years after supersession,None,M04; M05,EV-AIMS-007,Methodology does not validate individual ratings
DOC-AIMS-005,AI Risk Scenarios,04-risk-assessment/Duckworks_AI_Risk_Scenarios_v1.3.md,Markdown,Reginald Duckman - CRCO,Current canonical release,2026-09-08,2026-12-08,Public portfolio,Current plus 7 years after supersession,Duckworks_AI_Risk_Scenarios_v1.2.md,M05; risks,EV-AIMS-007,Ratings retain stated evidence limitations
DOC-AIMS-006,AI Control Framework,07-control-framework/Duckworks_AI_Control_Framework_Report_v1.3.md,Markdown,Eleanor Duckford - AI Governance Lead,Current canonical release,2026-09-08,2026-12-08,Public portfolio,Current plus 7 years after supersession,Duckworks_AI_Control_Framework_Report_v1.2.md,M07; controls,EV-AIMS-007,Control status does not prove production effectiveness
DOC-AIMS-007,Control Evidence Index,80-operating-evidence/Duckworks_AI_Control_Evidence_Index_v1.4.md,Markdown,Eleanor Duckford - AI Governance Lead,Current canonical release,2026-09-08,2026-10-08,Public portfolio,Current plus 7 years after supersession,Duckworks_AI_Control_Evidence_Index_v1.3.md,M10; evidence,EV-AIMS-007,Index metadata does not validate underlying evidence
DOC-AIMS-008,AIMS Evidence Baseline,11-assurance-testing-and-evaluation/03-iso42001/duckworks-iso42001-evidence-baseline-v1.4.md,Markdown,Eleanor Duckford - AI Governance Lead,Current portfolio assessment,2026-09-08,2026-12-08,Public portfolio,Current plus 7 years after supersession,duckworks-iso42001-evidence-baseline-v1.3.md,M01-M18,EV-AIMS-007,Thematic assessment is not certification or full conformity mapping
DOC-AIMS-009,AIMS Master Crosswalk,11-assurance-testing-and-evaluation/03-iso42001/Duckworks_AIMS_Master_Crosswalk_v1.3.xlsx,XLSX,Eleanor Duckford - AI Governance Lead,Current canonical release,2026-09-08,2026-10-08,Public portfolio,Current plus 7 years after supersession,Duckworks_AIMS_Master_Crosswalk_v1.2.xlsx,M01-M18,EV-AIMS-007,Local M identifiers are not ISO clause numbers
DOC-AIMS-010,AIMS Objectives and Performance Register,06-governance-operating-model/01-aims-objectives-and-support/Duckworks_AIMS_Objectives_and_Performance_Register_v1.0.xlsx,XLSX,Eleanor Duckford - AI Governance Lead,Approved within synthetic exercise,2026-09-08,2026-10-08,Public portfolio,Current plus 7 years after supersession,None,M08; M14,EV-AIMS-001,Synthetic snapshot is not live telemetry
DOC-AIMS-011,AIMS Objectives and Performance Standard,06-governance-operating-model/01-aims-objectives-and-support/Duckworks_AIMS_Objectives_and_Performance_Standard_v1.0.md,Markdown,Eleanor Duckford - AI Governance Lead,Approved within synthetic exercise,2026-09-08,2027-09-08,Public portfolio,Current plus 7 years after supersession,None,M08; M14,EV-AIMS-002,Targets are portfolio design choices
DOC-AIMS-012,AIMS Competence Awareness and Authorization Standard,06-governance-operating-model/01-aims-objectives-and-support/Duckworks_AIMS_Competence_Authorization_Standard_v1.0.md,Markdown,Beatrice Van Duck - Chief People Officer,Approved within synthetic exercise,2026-09-08,2027-09-08,Public portfolio,Current plus 7 years after supersession,None,M09,EV-AIMS-003,Synthetic records do not prove workforce competence
DOC-AIMS-013,AIMS Document and Evidence Control Standard,06-governance-operating-model/01-aims-objectives-and-support/Duckworks_AIMS_Document_and_Evidence_Control_Standard_v1.0.md,Markdown,Eleanor Duckford - AI Governance Lead,Approved within synthetic exercise,2026-09-08,2027-09-08,Public portfolio,Current plus 7 years after supersession,None,M10; AI-GOV-03,EV-AIMS-006,Retention rule requires real legal and records validation
DOC-AIMS-014,Release Notes v1.4,RELEASE_NOTES_v1.4.md,Markdown,Eleanor Duckford - AI Governance Lead,Release record,2026-09-08,2027-09-08,Public portfolio,Retain permanently,RELEASE_NOTES_v1.3.md,v1.4,EV-AIMS-007,Release notes summarize a synthetic portfolio milestone
