Inspection_ID,Batch_ID,Item_ID,AI_Result,AI_Confidence,Inspector_ID,Inspector_Qualification_Status,Human_Decision,AI_Override,Override_Reason,AI_Result_Timestamp,Human_Decision_Timestamp,Release_Authorization,Release_Authorization_Timestamp,Control_Exception
WI-20260901-001,B-240901-A,ARM-A-001,PASS,0.96,MI-01,QUALIFIED,ACCEPT,NO,,2026-09-01T08:14:10+03:00,2026-09-01T08:16:02+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T08:17:11+03:00,NO
WI-20260901-002,B-240901-A,ARM-A-002,DEFECT_FLAG,0.88,MI-02,QUALIFIED,REJECT,NO,,2026-09-01T08:20:34+03:00,2026-09-01T08:23:15+03:00,BLOCKED,2026-09-01T08:24:01+03:00,NO
WI-20260901-003,B-240901-A,ARM-A-003,PASS,0.78,MI-01,QUALIFIED,REJECT,YES,Manual inspection identified structural deformation not flagged by the model.,2026-09-01T08:31:40+03:00,2026-09-01T08:35:22+03:00,BLOCKED,2026-09-01T08:36:10+03:00,NO
WI-20260901-004,B-240901-A,ARM-A-004,DEFECT_FLAG,0.61,MI-03,QUALIFIED,ACCEPT,YES,Inspector confirmed a surface-reflection false positive; dimensional and manual checks were within tolerance.,2026-09-01T08:43:05+03:00,2026-09-01T08:47:18+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T08:48:03+03:00,NO
WI-20260901-005,B-240901-B,ARM-B-001,PASS,0.93,MI-02,QUALIFIED,ACCEPT,NO,,2026-09-01T09:02:51+03:00,2026-09-01T09:05:10+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T09:06:00+03:00,NO
WI-20260901-006,B-240901-B,ARM-B-002,DEFECT_FLAG,0.84,MI-03,QUALIFIED,REJECT,NO,,2026-09-01T09:12:44+03:00,2026-09-01T09:15:39+03:00,BLOCKED,2026-09-01T09:16:21+03:00,NO
WI-20260901-007,B-240901-B,ARM-B-003,PASS,0.91,MI-01,QUALIFIED,ACCEPT,NO,,2026-09-01T09:24:02+03:00,2026-09-01T09:26:44+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T09:27:20+03:00,NO
WI-20260901-008,B-240901-B,ARM-B-004,PASS,0.73,MI-02,QUALIFIED,ACCEPT,NO,,2026-09-01T09:34:37+03:00,2026-09-01T09:38:05+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T09:38:52+03:00,NO
WI-20260901-009,B-240901-C,ARM-C-001,DEFECT_FLAG,0.67,MI-01,QUALIFIED,ACCEPT,YES,Manual inspection confirmed a cosmetic mark outside the defined material-defect acceptance criteria.,2026-09-01T10:01:11+03:00,2026-09-01T10:05:33+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T10:06:20+03:00,NO
WI-20260901-010,B-240901-C,ARM-C-002,PASS,0.82,MI-03,QUALIFIED,REJECT,YES,Secondary-light inspection identified a hairline crack not flagged by WingInspect.,2026-09-01T10:14:46+03:00,2026-09-01T10:19:12+03:00,BLOCKED,2026-09-01T10:20:04+03:00,NO
WI-20260901-011,B-240901-C,ARM-C-003,PASS,0.95,MI-02,QUALIFIED,ACCEPT,NO,,2026-09-01T10:27:59+03:00,2026-09-01T10:30:16+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T10:31:02+03:00,NO
WI-20260901-012,B-240901-C,ARM-C-004,DEFECT_FLAG,0.89,MI-01,QUALIFIED,REJECT,NO,,2026-09-01T10:40:12+03:00,2026-09-01T10:43:08+03:00,BLOCKED,2026-09-01T10:44:00+03:00,NO
WI-20260901-013,B-240901-D,ARM-D-001,PASS,0.90,MI-03,QUALIFIED,ACCEPT,NO,,2026-09-01T11:03:26+03:00,2026-09-01T11:06:10+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T11:07:01+03:00,NO
WI-20260901-014,B-240901-D,ARM-D-002,PASS,0.87,MI-02,QUALIFIED,ACCEPT,NO,,2026-09-01T11:14:30+03:00,2026-09-01T11:17:05+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T11:18:00+03:00,NO
WI-20260901-015,B-240901-D,ARM-D-003,PASS,0.92,MI-01,QUALIFIED,ACCEPT,NO,,2026-09-01T11:25:41+03:00,2026-09-01T11:28:02+03:00,AUTHORIZED_FOR_RELEASE,2026-09-01T11:28:58+03:00,NO
