Competency_ID,Competency,Demonstrated_Capability,Primary_Evidence_Path,Secondary_Evidence_Path,Evidence_Type,Strength,Material_Limitation,Interview_Case
CMP-01,AI governance operating model,"Defines decision rights, ownership, escalation and three-lines separation",06-governance-operating-model/,01-project-charter-and-context/,Design and traceability,Strong,"Fictional roles and approvals; no real delegated authority",Case 5
CMP-02,AI inventory and intake,"Maintains system identity, ownership, lifecycle, data and governance status",03-ai-inventory-and-intake/,01-project-charter-and-context/,Structured governance record,Strong,"Synthetic inventory; completeness against a real enterprise is untested",Case 6
CMP-03,AI risk assessment,"Uses scenario-based inherent and residual risk with explicit assumptions",04-risk-assessment/,11-assurance-testing-and-evaluation/03-iso42001/,Method and worked records,Strong,"Scores are case-study judgments rather than validated enterprise ratings",Case 6
CMP-04,Impact rights and privacy,"Connects AIA, DPIA, FRIA and HUDERIA considerations for consequential AI",05-impact-and-rights-assessments/,10-system-model-and-technical-documentation/01-model-documentation/,Assessment pack,Moderate,"No legal opinion, affected-person consultation or real personal data",Case 3
CMP-05,Control design and applicability,"Defines 45 canonical controls and evaluates scoped applicability without awarding implementation credit",07-control-framework/,11-assurance-testing-and-evaluation/03-iso42001/,Control library and executable gate,Strong,"Applicability does not prove implementation or effectiveness",Case 6
CMP-06,Human oversight,"Designs a mandatory human release gate with decision and override evidence",80-operating-evidence/AI-004-winginspect/,07-control-framework/,Synthetic execution and test,Strong,"No production inspection history or validated safety effect",Case 1
CMP-07,AI security validation,"Implements negative authorization testing, seeded-defect detection and reproducible retesting",80-operating-evidence/AI-006-pondgpt/,10-system-model-and-technical-documentation/02-architecture-and-data-flows/,Executable control evidence,Strong,"No live connector, DLP or SIEM validation",Case 2
CMP-08,Fairness and feature governance,"Tests matched synthetic applicants, detects an unapproved feature and blocks progression",80-operating-evidence/AI-005-ducktalent/,05-impact-and-rights-assessments/,Executable control evidence,Strong,"No real applicants, production validation or legal discrimination conclusion",Case 3
CMP-09,Third-party AI risk,"Structures supplier evidence, risk, contract conditions, monitoring, change and exit",09-third-party-ai-governance/02-worked-supplier-case/AI-006-pondgpt/,09-third-party-ai-governance/01-templates/,Worked supplier case,Strong,"Fictional supplier and evidence; no real due diligence",Case 4
CMP-10,Monitoring and material change,"Detects a prohibited configuration recurrence and triggers reassessment",12-monitoring-reporting-and-roadmap/AI-005-ducktalent/,08-policies-standards-and-operations/03-change-management/,Executable event and decision chain,Strong,"Single synthetic event rather than sustained monitoring history",Case 3
CMP-11,Corrective action and assurance,"Links finding, root cause, CAPA, retest, management review and narrow closure",11-assurance-testing-and-evaluation/04-internal-audit-and-corrective-action/AI-005-ducktalent/,11-assurance-testing-and-evaluation/05-aims-internal-audit-programme/,Assurance workpapers and test,Strong,"No real independent audit or enterprise remediation",Case 5
CMP-12,Management review and objectives,"Connects measurable objectives, risk and opportunity, actions, dependencies and escalation",12-monitoring-reporting-and-roadmap/01-aims-management-review-cycle/,06-governance-operating-model/01-aims-objectives-and-support/,Management-system records and gate,Strong,"One bounded synthetic review cycle; no recurring leadership operation",Case 6
CMP-13,Executive decision support,"Summarizes portfolio gates, evidence maturity, blockers and required decisions",12-monitoring-reporting-and-roadmap/Duckworks_Executive_AI_Governance_Decision_Brief_v1.0.md,00-executive-case-study/,Management brief,Strong,"Synthetic management reporting without real executive approval",Case 1
CMP-14,Governance as code,"Runs nine control and management-system gates plus semantic assertions in CI",.github/workflows/evidence-tests.yml,13-portfolio-navigation-and-hiring-evidence/portfolio_integrity_gate.py,Executable workflow,Strong,"Repository automation is not a production enforcement platform",Case 2

