"Decision_ID","Control_ID","Control_Name","Control_Type","Control_Owner","Applicability_Decision","Applicability_Scope","Applicability_Rationale","Conditional_or_Exclusion_Criteria","Related_Risk_IDs","Source_Implementation_Status","Evidence_IDs","Evidence_Basis","Production_Effectiveness_Claim","Risk_Reduction_Credit","Assurance_Classification","Required_Action","Approval_Status","Decision_Owner","Review_Date","Next_Review_Date","Review_Triggers"
"APP-001","AI-GOV-01","Risk-Based Lifecycle Gate","Preventive","Eleanor Duckford - AI Governance Lead","Applicable","AIMS-wide; AI-001 through AI-007","Included as a portfolio-wide governance control because risk-based lifecycle gate supports consistent lifecycle, change or evidence decisions across the AIMS.","No routine exclusion. Any exception requires documented CRCO approval, alternative treatment and review trigger.","AI-001-R01; AI-002-R01; AI-002-R03; AI-004-R01; AI-005-R01; AI-005-R02; AI-006-R01; AI-007-R02","Partially implemented","EV-AI005-009; EV-AI005-014; EV-AI005-015; EV-AI005-017; EV-AI005-018; EV-AI005-019; EV-AI005-020; EV-AI005-021; EV-AI006-013; EV-AIMS-009; EV-AIMS-010; EV-AIMS-012; EV-AIMS-013; EV-AIMS-019","Synthetic system and supplier lifecycle decisions, corrective-action governance, management decision and narrow closure demonstrated; production effectiveness unverified; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No production risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Add authorized real gate operation, production-period evidence and outcome review; preserve unresolved blockers and reopening triggers.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-002","AI-GOV-02","Material Change & Reassessment Trigger","Preventive","Eleanor Duckford - AI Governance Lead","Applicable","AIMS-wide; AI-001 through AI-007","Included as a portfolio-wide governance control because material change & reassessment trigger supports consistent lifecycle, change or evidence decisions across the AIMS.","No routine exclusion. Any exception requires documented CRCO approval, alternative treatment and review trigger.","AI-001-R01; AI-001-R02; AI-001-R03; AI-003-R02; AI-004-R03; AI-005-R01; AI-006-R01","Partially implemented","EV-AI005-010; EV-AI005-011; EV-AI005-012; EV-AI005-013; EV-AI005-014; EV-AI005-015; EV-AI005-016; EV-AI005-017; EV-AI005-018; EV-AI005-019; EV-AI005-020; EV-AI005-021; EV-AI006-015","One bounded DuckTalent change/reassessment/improvement cycle and one bounded PondGPT supplier-change response demonstrated; enterprise-wide and production effectiveness unverified; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No production risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Add enterprise-wide trigger operation and version-bound production evidence, including supplier notices, exceptions, review, approval and reopening outcomes.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-003","AI-GOV-03","Control Evidence Index","Detective","Eleanor Duckford - AI Governance Lead","Applicable","AIMS-wide; AI-001 through AI-007","Included as a portfolio-wide governance control because control evidence index supports consistent lifecycle, change or evidence decisions across the AIMS.","No routine exclusion. Any exception requires documented CRCO approval, alternative treatment and review trigger.","Portfolio-wide evidence governance","Planned","EV-AIMS-001; EV-AIMS-002; EV-AIMS-003; EV-AIMS-004; EV-AIMS-005; EV-AIMS-006; EV-AIMS-007; EV-AIMS-008; EV-AIMS-014; EV-AIMS-015; EV-AIMS-016; EV-AIMS-017; EV-AIMS-018; EV-AIMS-019; EV-AIMS-020","Implemented at portfolio-document level; maintenance operation untested; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","Design/document implementation only","Bounded synthetic evidence linked; production effectiveness unverified","Assign a maintenance cadence; test retrieval, review, supersession and cross-document update operation.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-004","AI-INC-01","AI Incident, Containment & Stop-Use","Corrective","Cassandra Duckley - Chief Information Security Officer","Applicable","AIMS-wide incident response; AI-001 through AI-007","Included because every registered AI system and the AI-007 organizational condition can require containment, stop-use, investigation and escalation.","No routine exclusion. System-specific procedures may tailor execution but may not remove incident escalation and containment.","AI-001-R01; AI-001-R02; AI-002-R02; AI-003-R03; AI-004-R01; AI-005-R03; AI-006-R01; AI-006-R02; AI-007-R01","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-005","AI-TPR-01","AI Supplier Due Diligence & Contract Controls","Preventive","Percival Duckworth - Director Procurement & Vendor Assurance","Conditionally applicable","AI-001; AI-002; AI-005; AI-006; AI-007 and any use involving an external provider","Conditionally included because supplier due diligence, contractual controls, monitoring and exit requirements apply whenever Duckworks relies on an external AI provider or material subprocessor.","May be marked not applicable only where no external provider, hosted service, model supplier, data supplier or material subprocessor is used; the absence and rationale require owner and CRCO approval.","AI-001-R02; AI-002-R02; AI-005-R01; AI-005-R03; AI-006-R01; AI-007-R03","Partially implemented","EV-AI006-009; EV-AI006-010; EV-AI006-011; EV-AI006-012; EV-AI006-013; EV-AI006-014; EV-AI006-015; EV-AI006-016","One bounded synthetic PondGPT supplier lifecycle demonstrated from intake through change response and exit design; executed contract, verified supplier evidence and production operation absent; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No production risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Execute and verify blocking contractual terms; obtain supplier security/privacy/hosting/subprocessor evidence; operate monitoring; test export, continuity and deletion; record authorized renewal/exit decisions.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-006","DD-01","Competent Engineer Approval","Preventive","Felix Duckson - VP Product & Engineering","Applicable","AI-001 — DuckDesign AI","Included because Competent Engineer Approval directly treats AI-001-R01; AI-001-R03 within AI-001 — DuckDesign AI.","Outside AI-001 — DuckDesign AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-001-R01; AI-001-R03","Implemented","None linked","Unsupported implementation assertion — evidence ID absent","No","No additional credit until evidence is retrieved and reviewed","Unsupported implementation assertion — evidence absent","Provide execution records, population/period, exceptions, outcome metrics and owner review.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-007","DD-02","Independent Safety Validation Gate","Preventive","Quentin Duckwell - Director Product Safety & Quality","Applicable","AI-001 — DuckDesign AI","Included because Independent Safety Validation Gate directly treats AI-001-R01 within AI-001 — DuckDesign AI.","Outside AI-001 — DuckDesign AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-001-R01","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-008","DD-03","Engineering Benchmark & Regression Suite","Detective","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-001 — DuckDesign AI","Included because Engineering Benchmark & Regression Suite directly treats AI-001-R01; AI-001-R03 within AI-001 — DuckDesign AI.","Outside AI-001 — DuckDesign AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-001-R01; AI-001-R03","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-009","DD-04","Engineering Data Boundary & DLP","Preventive","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-001 — DuckDesign AI","Included because Engineering Data Boundary & DLP directly treats AI-001-R02 within AI-001 — DuckDesign AI.","Outside AI-001 — DuckDesign AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-001-R02","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-010","DD-05","Design/Model Version Traceability","Preventive","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-001 — DuckDesign AI","Included because Design/Model Version Traceability directly treats AI-001-R01; AI-001-R03 within AI-001 — DuckDesign AI.","Outside AI-001 — DuckDesign AI, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-001-R01; AI-001-R03","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
