Claim_ID,Topic,Supported_Wording,Avoid_Wording,Evidence_Path,Boundary,Status
CLM-01,Portfolio scope,"Designed an end-to-end fictional AI governance portfolio covering inventory, risk, controls, evidence, monitoring and assurance","Implemented an enterprise AI governance programme at Duckworks",README.md,"Duckworks and its governance records are fictional",Allowed with boundary
CLM-02,Operating controls,"Demonstrated three synthetic operating-evidence archetypes with tests and decision records","Proved controls operate effectively in production",80-operating-evidence/,"Synthetic execution is not production operating effectiveness",Allowed with boundary
CLM-03,Governance as code,"Built reproducible repository gates that test defined control and management-system conditions","Deployed autonomous enterprise GRC enforcement",.github/workflows/evidence-tests.yml,"CI checks repository evidence and synthetic scenarios only",Allowed with boundary
CLM-04,ISO/IEC 42001,"Built a thematic readiness baseline and traceability crosswalk informed by ISO/IEC 42001","Achieved ISO/IEC 42001 compliance or certification",11-assurance-testing-and-evaluation/03-iso42001/,"No clause-level conformity audit or certification",Allowed with boundary
CLM-05,Internal audit,"Designed a risk-based 45-control audit programme and executed a bounded synthetic repository review","Completed an independent enterprise internal audit",11-assurance-testing-and-evaluation/05-aims-internal-audit-programme/,"Auditor assignment, independence and authorization are not verified",Allowed with boundary
CLM-06,Fairness,"Built a synthetic matched-pair fairness test that detected a prohibited feature and blocked progression","Validated DuckTalent as fair or legally non-discriminatory",80-operating-evidence/AI-005-ducktalent/,"No real applicants, protected-class analysis or legal conclusion",Allowed with boundary
CLM-07,AI security,"Built authorization-regression tests that detect a seeded connector permission defect","Penetration-tested or secured a production RAG system",80-operating-evidence/AI-006-pondgpt/,"No production connector, DLP, SIEM or red-team validation",Allowed with boundary
CLM-08,Human oversight,"Designed and tested the evidence model for a mandatory human release gate","Demonstrated production human oversight effectiveness",80-operating-evidence/AI-004-winginspect/,"No live QMS integration or production release history",Allowed with boundary
CLM-09,Third-party risk,"Developed a worked supplier-governance chain from intake through conditional decision and exit planning","Completed real vendor due diligence",09-third-party-ai-governance/02-worked-supplier-case/AI-006-pondgpt/,"Supplier, evidence and decision are fictional",Allowed with boundary
CLM-10,Risk decisions,"Produced traceable synthetic governance decisions that retain blocks when evidence remains insufficient","Held real delegated risk-acceptance authority",12-monitoring-reporting-and-roadmap/,"Decision-makers and approvals are fictional",Allowed with boundary
CLM-11,Corrective action,"Demonstrated narrow finding closure after reproducible recurrence-prevention testing","Proved enterprise remediation effectiveness",11-assurance-testing-and-evaluation/04-internal-audit-and-corrective-action/AI-005-ducktalent/,"Bounded synthetic test; unrelated risks and deployment gate remain open",Allowed with boundary
CLM-12,Regulatory research,"Mapped relevant official legal and framework sources with applicability conditions and uncertainties","Provided legal advice or established EU AI Act compliance",02-regulatory-and-framework-research/,"Portfolio research is not legal advice or conformity assessment",Allowed with boundary

